polarity,text,created_at,retweet_count,username,followers_count,verified
0,RT @LuisGyG: 70 ciudadanos de Coreal del Sur (incluidos algunos representantes de Samsung y la fabricante de chips SK Hynix) dieron positiv…,2022-01-14 14:24:59+00:00,1,JoiaribElnatan,16056,False
1,"@anabel0944 Xa a mi gusto el iphone pa grabar videos en 4k, pero me gusta mas para fotos el s21 ultra ahora ese celular samsung puedes grabar 4k y 8k🥺😍",2022-01-14 14:24:35+00:00,0,LuisGyG,64264,True
1,"RT @hyyunmei: K-Stay: las típicas primas milipilis que tiene todo iPhone, Gucci, todo re caro y le pasas un samsung o motorola y empieza a…",2022-01-14 14:23:47+00:00,2,GiXnoxD,416,False
1,"70 ciudadanos de Coreal del Sur (incluidos algunos representantes de Samsung y la fabricante de chips SK Hynix) dieron positivo a #COVID tras asistir al #CES2022 en Las Vegas, según @Reuters. La CTA, organizadora del CES, no pudo confirmar el número de positivos en el evento. https://t.co/IfbAhsgesN",2022-01-14 14:22:48+00:00,1,anabel0944,180,False
1,"@meinOddity si tiene Samsung te sale una app llamada game launcher, ahí deben de estar todos los juegos descargados que tengas, abajo del icon del juego aparace una opción llamada ""detalles"", y en esa te dice cuantas horas vas jugando cada juego",2022-01-14 14:22:46+00:00,0,MarSt4y,16,False
0,"@anabel0944 Xa si en verdad ta xeveron aunque el iohone 12 pro max duraba 16 horas prefiero 20 horas de bateria jaja si compraras samsung que sea entre el s21 ultra o note 20 ultra, si vas por huawei vaya por el mate 40 pro o el p40 pro son lo mejor en bateria y camara.😌",2022-01-14 14:22:26+00:00,0,hyyunmei,641,False
1,"RT @SamsungCO: Es el momento de renovar tu hogar con todos los electrométricos que siempre quisiste. 
Aprovecha el Blue Sale Samsung del 14…",2022-01-14 14:20:06+00:00,1,Reuters,24170321,True
1,"Samsung S22: en el interior del dispositivo lo que se espera es que cuenten con procesadores Exynos de última generación y, además, con el Qualcomm Snapdragon 8 Gen 1 para determinados mercados.
Imagen: Christian Josbel Bastidas Mijares
https://t.co/Oonv0wLJmS
JBM143620220114 https://t.co/gPvC5PX3lo",2022-01-14 14:20:02+00:00,0,idysilk,316,False
0,"Segun yo escogí samsung para silenciar las notificaciones y para solo escuchar llamadas, aun así vibran, es molesto tener que silenciar una por una, ya no escogere Samsung.",2022-01-14 14:18:58+00:00,0,meinOddity,48,False
1,@Tedy_vargas @josegarban @maritavva Si supieran que esos Motorolas eran mejores que los S5... Jajaja use los Samsung hasta que descubrí las bondades de tener un buen Motorola... 👌🏻,2022-01-14 14:16:18+00:00,0,andresf_salgado,118,False
0,"RT @orange_es: Este año, llévate por muy poco una Xiaomi Smart tv 55”, un Samsung Galaxy A12 o un Huawei PC Matebook. Y además, un 50% de d…",2022-01-14 14:15:15+00:00,9,SamsungCO,282571,True
1,@ritchie_greg ¡Hola! te invitamos a visitar nuestra tienda web y podrás encontrar todos los accesorios que necesitas para tu Galaxy S21 Ultra 🤩 https://t.co/1fV8VN7UqV,2022-01-14 14:13:57+00:00,0,desdemimacbook,36,False
1,"¿Querés demostrar tu talento gamer? ¡Llegó tu oportunidad, participá del evento League of Legends Samsung 2022! 👾 ​

El 30 de enero se presentarán en vivo los mejores competidores de LOL y podrán vivir una experiencia única con nuestros monitores gamers. https://t.co/j5f2zaDcYp",2022-01-14 14:13:18+00:00,0,Mega_avshalom,5,False
1,"@AnimeDanny19 Sin duda alguna ,me agrada sus presentaciones en el concierto, butter una icónica música, la escuché en un comercial de Samsung y se me quedó en la cabeza, ahora la añadí a mi lista de reproducción en Youtube mientras trabajo manejando, muy buena la rola,",2022-01-14 14:13:02+00:00,0,fisio_yos,278,False
1,Este gama alta de Samsung tira su precio más de 200 euros https://t.co/OD0d5H5EBI,2022-01-14 14:12:58+00:00,0,Tedy_vargas,196,False
1,"RT @NiusDiario: Toyota, Samsung y Volkswagen se encuentran entre las empresas afectadas, según WSJ

https://t.co/BUiBjWkco6",2022-01-14 14:08:42+00:00,2,josegarban,480,False
0,Alguien entro a mi ig desde un Samsung J7 . Que querés chusmear pedazo de trolx ?????,2022-01-14 14:06:52+00:00,0,maritavva,84,False
0,te odio  corrector de Samsung,2022-01-14 14:06:46+00:00,0,santiag30685072,66,False
0,"@ladriguruok En líneas generales, todo el que tenga representante oficial acá es una ganga comparado con USA (ej. Samsung) más si sumas cuotas.
Hora de llenar la valija y viajar a MIAMI.",2022-01-14 14:05:34+00:00,0,orange_es,161091,True
1,"""pueden ayudar con más cosas"" ahh si me hace acordar a mi cagando a empujones a un chorro para defender mi samsung pocket 🤼 https://t.co/2JnIBRNMY8",2022-01-14 14:03:32+00:00,0,SamsungChile,399351,True
1,Entérate de nuevos #avances #tecnológicos #tecnología #noticias #Apple #Canon #Hp #Samsung  https://t.co/HzveSLQTjd #lomásvisto #ofrecidopor,2022-01-14 14:01:34+00:00,0,ritchie_greg,274,False
1,"Samsung Galaxy, limpiador facial, freidora sin aceite... todo al mejor precio #ofertas #promoción https://t.co/Ex6vLjmnrk",2022-01-14 14:00:21+00:00,0,SamsungPY,30188,True
1,"Recopilamos todos los móviles y tablets compatibles con Diablo Immortal en 2022. Tanto para Android como en iPhone. Samsung, Xiaomi, Huawei, realme... https://t.co/BmhLxOFsXJ",2022-01-14 13:59:45+00:00,0,ghonsilver47,4,False
0,@SamsungArg Pésimo servicio de técnico de teléfonos Premium como el ultra un desastre Samsung no compro mas,2022-01-14 13:59:30+00:00,0,AnimeDanny19,85501,False
1,"iPhone/Samsung Refurbished, grado A, Nuevos Modelos, toda la tecnología  al mejor precio https://t.co/Dl6hozunRL #Apple #Seminuevo #tecnología 
#samsung #gratis  #IPHONE12PROMAX #USEDIPHONE #IPHONE8 #IPHONE11PROMAX #IPHONE12 #IPHONE12PROMAX #IPHONE12PRO #IPHONE11PRO #usedgoods https://t.co/jI3RWDImNf",2022-01-14 13:59:03+00:00,0,UrbanTecno,88505,False
1,"¿Conoces las grandes oportunidades que presenta nuestro catálogo en televisores? Equipa tu casa con la mejor imagen. Descubre en nuestra web y tiendas el fabuloso Neo Qled de #Samsung.

A un precio rebajado y con todas las garantías que aporta una firma líder. https://t.co/T4T6ZVYg98",2022-01-14 13:59:00+00:00,0,guzman_belmar,117,False
0,@medicenjuanin No me gusta como se ven los Samsung unu,2022-01-14 13:58:32+00:00,0,NiusDiario,69396,True
1,"@heypipito AMO, con el One UI 4 de Samsung también cambian los colores de todo en base al fondo de pantalla uwu https://t.co/J2WQs34eWg",2022-01-14 13:57:57+00:00,0,zzapatamilagros,325,False
1,Apple podría lanzar un iPad OLED con pantalla de Samsung https://t.co/7lz9TnCBJt a través de @Yahoo,2022-01-14 13:57:37+00:00,0,itz_ander_xd,202,False
